Weath Sunburn
Caas Evensense
Biaeth Oddseeker
Methas Fireshine
Wyldeyn Goldendreamer
Permin Brasssun
Parnas Oddtwist
Annomir Blackswitch
Lethsel Sunsky
Hertis Darklove
Jenrus Hotwalker
Bemeath Downshard
Bemthemar Eveningpoem
Keellath Silentbrook
Nerilis Darkflare
Kartus Windlight
Bemrad Trueblade
Lethlanis Slimbinder
Vordanis Arcanegift
Felrenis Morrowshine
Lilenne Velvetmourn
Aelalenne Emberseeker
Elelda Ancientguard
Belice Coldtruth
Narinara Nimblebreath
Masilla Eagershield
Erini Bloodwalker
Larianaria Greatsinger
Marlinda Rightspell
Lylene Arcanehope
Lyrine Nimbleveil
Feyvie Keencloud
Amorara Eveningmight
Fedrea Silentfate
Kinanise Brassdream
Bedra Glaredreamer
Narsendra Coldforge
Kyrianna Everlove
Mirrina Boldrest
Kinari Radiantbirth
